claim_id,report_section,claim,artifact_path,exact_locator,collection_time_utc,sha256,proves,does_not_prove,confidence,alternative_considered,disposition
C-001,Scope,"Two loopback endpoints (18098 HTTP, 23319 signal) are authorized",scope-register.csv,rows 2-3,2026-07-21T16:01:06Z,41c3ae9bfc9aa573a75eb82bc62fbe6c9bbef3432f311245da37074893776502,Which assets were in scope for discovery,That the services were reachable at scan time,high,Treating all loopback ports as in-scope; rejected as unsafe,accepted
C-002,Scope,The out-of-scope decoy (26465) received zero packets,request-ledger.csv,no row with port 26465 and result SENT,2026-07-21T16:01:06Z,52c4f1778711ee7ad5242fd2eadb8718123ff5aecdf2b5323e14e8865d4455e3,Scope discipline was enforced in practice,That the decoy service was non-existent (it exists but was never contacted),high,Post-hoc log filtering; rejected in favour of pre-socket enforcement,accepted
C-003,Discovery,Port 18098 is open and serves HTTP,raw-output/port-probe/ports.json,state=open for port 18098,2026-07-21T16:01:06Z,644dd4c055638bab5b5f4bbd3095321ef9535c73f3cd0f9d4a5dec4090746cf0,An HTTP service is reachable on 18098,The specific application before vhost routing,high,Assuming service from port number; rejected in favour of live probe,accepted
C-004,Discovery,Port 23319 runs a line-protocol signal service,raw-output/signal/signal.json,banner field RLY/2 READY,2026-07-21T16:01:06Z,2ca24c3ea5d5181faf189bed0c39f66bfc3831f1284e159f523b0fd45c8f7519,A line-protocol service is reachable on 23319,The full command set beyond those advertised,high,Guessing protocol; rejected in favour of banner observation,accepted
C-005,Discovery,"Signal service commands were discovered via CAPS, not assumed",raw-output/signal/signal.json,"commands field lists CAPS,ROUTE,QUIT",2026-07-21T16:01:06Z,2ca24c3ea5d5181faf189bed0c39f66bfc3831f1284e159f523b0fd45c8f7519,The engine learned commands dynamically,That all commands are safe to issue,high,Hard-coding ROUTE; rejected as it would not generalise,accepted
C-006,Discovery,Virtual host and route key were obtained via ROUTE,raw-output/signal/signal.json,vhost and route_key fields,2026-07-21T16:01:06Z,2ca24c3ea5d5181faf189bed0c39f66bfc3831f1284e159f523b0fd45c8f7519,The vhost/route key came from the signal service,That these values persist across lab restarts,high,Reading local_lab.py; rejected as it earns no discovery credit,accepted
C-007,Discovery,The genuine vhost was confirmed against a wildcard baseline,raw-output/http/http.json,baseline_class=retain,2026-07-21T16:01:06Z,74b706588c512ba70c5cf5046ce38bba616ca70afcdb32ffdf885663c04d8936,"The vhost serves real content, not wildcard noise",That no other vhosts exist,high,Accepting any 200 as a hit; rejected due to wildcard catch-all,accepted
C-008,Discovery,Credentials were discovered behind the genuine vhost,raw-output/http/http.json,credentials_found=true,2026-07-21T16:01:06Z,74b706588c512ba70c5cf5046ce38bba616ca70afcdb32ffdf885663c04d8936,Diagnostics disclosed a username and password,That the credentials grant access without the route key,high,None; single documented diagnostics path,accepted
C-009,Foothold,The foothold flag was obtained through the discovered chain,foothold-evidence.txt,RESPONSE BODY (user.txt) section,2026-07-21T15:03:04Z,415aab339b7b578be4e74b39a4a36e661007e55520acc1eada9d3ac58ee6993b,The flag was retrieved using discovered values,That the flag alone proves access (chain reconciliation required),high,Submitting the room marker; rejected as it is not the flag,accepted
C-010,Foothold,The foothold request reconciles with the lab's own ledger,lab-runtime/target-request-ledger.jsonl,resource=/user.txt result=200,2026-07-21T15:03:04Z,8297d971640facafbfd85c4cfcb27166b1491ec549a0397311ffd89d07835bba,The lab independently recorded the successful request,That the engine performed the fetch (it was a separate step),high,"Relying only on the client transcript; rejected, needs corroboration",accepted
C-011,Reliability,Normalized output is deterministic across runs,run/run.json,result_hash field,2026-07-21T16:01:06Z,49c4db57112857f8b38c4236bd82f85a9b7a0cf2a969d03840d6ea588290636e,The result hash is stable and reproducible,That raw timestamps are identical (they are excluded by design),high,Hashing full records incl timestamps; rejected as non-deterministic,accepted
C-012,Reliability,An interrupted run resumes without repeating completed probes,run/run.json,resumed_stages field,2026-07-21T15:30:50Z,49c4db57112857f8b38c4236bd82f85a9b7a0cf2a969d03840d6ea588290636e,Resume skips done stages and matches the clean-run hash,That every possible interruption point was tested,medium,Restarting from scratch; rejected as it wastes the request budget,accepted
C-013,Engine and tests,All 20 published fixtures pass,test-results.xml,testsuite tests=32 failures=0,2026-07-21T16:01:10Z,69012c1b4749f1e3dfbebf21d783467e36684f5e19465a5a6e69618d27b28b85,The published acceptance suite passes,That hidden fixtures will pass (untested by definition),high,Testing only sample inputs; rejected in favour of full fixture coverage,accepted
